# FSAE course centreline, digitized from skidpad_autocross_2026.png
# source_md5=ba199c283f630d51bc19b72da9b0f615
# grid_px=12.000 grid_ft=25.0 m_per_px=0.63500  (AUTO-CALIBRATED from the sheet)
# length_m=674.0  closed=False  R_min_m=4.50
# slalom_spacings_verified=False
s_m,x_m,y_m,kappa_1perm
494.0000,459.8132,43.4892,0.036747
495.0000,458.8278,43.3192,0.028823
496.0000,457.8477,43.1210,0.021436
497.0000,456.8720,42.9017,0.014484
498.0000,455.8996,42.6683,0.007831
499.0000,454.9291,42.4273,0.001330
500.0000,453.9589,42.1849,0.005177
501.0000,452.9875,41.9477,0.011851
502.0000,452.0133,41.7219,0.018853
503.0000,451.0351,41.5146,0.026339
504.0000,450.0517,41.3332,0.034448
505.0000,449.0627,41.1858,0.043272
506.0000,448.0682,41.0814,0.052807
507.0000,447.0697,41.0298,0.062885
508.0000,446.0700,41.0411,0.073071
509.0000,445.0737,41.1243,0.071824
510.0000,444.0859,41.2785,0.064616
511.0000,443.1100,41.4962,0.056824
512.0000,442.1481,41.7691,0.048942
513.0000,441.2006,42.0887,0.041294
514.0000,440.2671,42.4471,0.034050
515.0000,439.3464,42.8372,0.027269
516.0000,438.4366,43.2523,0.020936
517.0000,437.5358,43.6863,0.014989
518.0000,436.6415,44.1338,0.009347
519.0000,435.7515,44.5897,0.003917
520.0000,434.8632,45.0491,0.001397
521.0000,433.9743,45.5073,0.006691
522.0000,433.0824,45.9595,0.012058
523.0000,432.1851,46.4008,0.017582
524.0000,431.2802,46.8264,0.023339
525.0000,430.3656,47.2307,0.029385
526.0000,429.4395,47.6078,0.035745
527.0000,428.5005,47.9516,0.042396
528.0000,427.5478,48.2553,0.049241
529.0000,426.5814,48.5118,0.056090
530.0000,425.6022,48.7137,0.062637
531.0000,424.6123,48.8544,0.060748
532.0000,423.6157,48.9349,0.053660
533.0000,422.6161,48.9619,0.046545
534.0000,421.6164,48.9422,0.039649
535.0000,420.6182,48.8830,0.033100
536.0000,419.6225,48.7906,0.026939
537.0000,418.6297,48.6715,0.021148
538.0000,417.6395,48.5315,0.015676
539.0000,416.6517,48.3759,0.010449
540.0000,415.6656,48.2099,0.005385
541.0000,414.6804,48.0387,0.000459
542.0000,413.6952,47.8670,0.004621
543.0000,412.7093,47.7000,0.009751
544.0000,411.7217,47.5425,0.015095
545.0000,410.7319,47.4001,0.020745
546.0000,409.7394,47.2782,0.026788
547.0000,408.7440,47.1830,0.033295
548.0000,407.7460,47.1210,0.040298
549.0000,406.7463,47.0993,0.047771
550.0000,405.7468,47.1254,0.055584
551.0000,404.7503,47.2070,0.059732
552.0000,403.7600,47.3454,0.042797
553.0000,402.7765,47.5259,0.025301
554.0000,401.7978,47.7313,0.007566
555.0000,400.8207,47.9441,0.010461
556.0000,399.8415,48.1466,0.028954
557.0000,398.8568,48.3207,0.047927
558.0000,397.8650,48.4474,0.066899
559.0000,396.8670,48.5075,0.084567
560.0000,395.8677,48.4834,0.098786
561.0000,394.8755,48.3620,0.088270
562.0000,393.8974,48.1549,0.051838
563.0000,392.9314,47.8968,0.021103
564.0000,391.9710,47.6182,0.007181
565.0000,391.0086,47.3467,0.036455
566.0000,390.0369,47.1107,0.070185
567.0000,389.0519,46.9397,0.073792
568.0000,388.0569,46.8415,0.068865
569.0000,387.0576,46.8118,0.061113
570.0000,386.0582,46.8429,0.051558
571.0000,385.0617,46.9254,0.041290
572.0000,384.0694,47.0489,0.029140
573.0000,383.0811,47.2013,0.017890
574.0000,382.0957,47.3715,0.007745
575.0000,381.1117,47.5494,0.001758
576.0000,380.1273,47.7255,0.011033
577.0000,379.1411,47.8908,0.020451
578.0000,378.1516,48.0358,0.030347
579.0000,377.1583,48.1506,0.040994
580.0000,376.1612,48.2246,0.052567
581.0000,375.1615,48.2461,0.065039
582.0000,374.1627,48.2031,0.067986
583.0000,373.1690,48.0925,0.062806
584.0000,372.1841,47.9199,0.056849
585.0000,371.2106,47.6917,0.050498
586.0000,370.2499,47.4146,0.044057
587.0000,369.3023,47.0954,0.037731
588.0000,368.3674,46.7406,0.031637
589.0000,367.4442,46.3564,0.025818
590.0000,366.5311,45.9486,0.020270
591.0000,365.6266,45.5223,0.014952
592.0000,364.7285,45.0825,0.009804
593.0000,363.8347,44.6339,0.004528
594.0000,362.9430,44.1813,0.000798
595.0000,362.0510,43.7294,0.006199
596.0000,361.1561,43.2831,0.011761
597.0000,360.2561,42.8473,0.017570
598.0000,359.3485,42.4274,0.023704
599.0000,358.4312,42.0292,0.030223
600.0000,357.5024,41.6589,0.037152
601.0000,356.5604,41.3235,0.044457
602.0000,355.6044,41.0302,0.052012
603.0000,354.6346,40.7871,0.059564
604.0000,353.6521,40.6018,0.060326
605.0000,352.6602,40.4757,0.055502
606.0000,351.6628,40.4048,0.050291
607.0000,350.6631,40.3843,0.044947
608.0000,349.6635,40.4086,0.039656
609.0000,348.6656,40.4726,0.034541
610.0000,347.6705,40.5710,0.029668
611.0000,346.6788,40.6990,0.025063
