# FSAE course centreline, digitized from endurance_2026.png
# source_md5=877c11e1865936b6f3b34a25eeab6dd8
# grid_px=12.000 grid_ft=25.0 m_per_px=0.63500  (AUTO-CALIBRATED from the sheet)
# length_m=964.0  closed=True  R_min_m=4.50
# slalom_spacings_verified=False
s_m,x_m,y_m,kappa_1perm
286.0000,356.2996,42.8237,0.009795
287.0000,355.4527,42.2919,0.007041
288.0000,354.6096,41.7541,0.004350
289.0000,353.7689,41.2126,0.001700
290.0000,352.9291,40.6698,0.000926
291.0000,352.0887,40.1277,0.003550
292.0000,351.2465,39.5886,0.006190
293.0000,350.4009,39.0547,0.008865
294.0000,349.5507,38.5283,0.011593
295.0000,348.6944,38.0118,0.014387
296.0000,347.8308,37.5078,0.017261
297.0000,346.9585,37.0187,0.020220
298.0000,346.0766,36.5474,0.023267
299.0000,345.1839,36.0968,0.026392
300.0000,344.2797,35.6698,0.029579
301.0000,343.3633,35.2697,0.032797
302.0000,342.4342,34.8999,0.035959
303.0000,341.4926,34.5635,0.036592
304.0000,340.5392,34.2617,0.037277
305.0000,339.5754,33.9956,0.038102
306.0000,338.6021,33.7663,0.039066
307.0000,337.6205,33.5755,0.040170
308.0000,336.6321,33.4242,0.041410
309.0000,335.6383,33.3139,0.042782
310.0000,334.6407,33.2461,0.044278
311.0000,333.6410,33.2228,0.045885
312.0000,332.6414,33.2452,0.047582
313.0000,331.6439,33.3151,0.049343
314.0000,330.6512,33.4343,0.051134
315.0000,329.6657,33.6037,0.052909
316.0000,328.6908,33.8255,0.054614
317.0000,327.7293,34.0999,0.056189
318.0000,326.7845,34.4271,0.052453
319.0000,325.8582,34.8035,0.047885
320.0000,324.9508,35.2236,0.043155
321.0000,324.0625,35.6827,0.038433
322.0000,323.1924,36.1756,0.033840
323.0000,322.3395,36.6975,0.029452
324.0000,321.5023,37.2443,0.025308
325.0000,320.6793,37.8123,0.021422
326.0000,319.8686,38.3978,0.017789
327.0000,319.0685,38.9976,0.014390
328.0000,318.2771,39.6089,0.011204
329.0000,317.4926,40.2290,0.008205
330.0000,316.7132,40.8555,0.005365
331.0000,315.9372,41.4863,0.002660
332.0000,315.1628,42.1190,0.000189
333.0000,314.3886,42.7519,0.002445
334.0000,313.6127,43.3829,0.004887
335.0000,312.8338,44.0100,0.007267
336.0000,312.0504,44.6315,0.009637
337.0000,311.2610,45.2454,0.012078
338.0000,310.4643,45.8497,0.014640
339.0000,309.6588,46.4423,0.017372
340.0000,308.8432,47.0208,0.020327
341.0000,308.0158,47.5825,0.023565
342.0000,307.1755,48.1246,0.027145
343.0000,306.3208,48.6436,0.031129
344.0000,305.4504,49.1357,0.035584
345.0000,304.5630,49.5966,0.040566
346.0000,303.6576,50.0211,0.046118
347.0000,302.7335,50.4030,0.052246
348.0000,301.7908,50.7363,0.058885
349.0000,300.8303,51.0137,0.065870
350.0000,299.8535,51.2270,0.072895
351.0000,298.8638,51.3686,0.079488
352.0000,297.8661,51.4318,0.080192
353.0000,296.8665,51.4149,0.071995
354.0000,295.8706,51.3268,0.063184
355.0000,294.8823,51.1754,0.054398
356.0000,293.9036,50.9707,0.046030
357.0000,292.9353,50.7213,0.038267
358.0000,291.9773,50.4347,0.031161
359.0000,291.0286,50.1184,0.024664
360.0000,290.0881,49.7788,0.018689
361.0000,289.1541,49.4216,0.013129
362.0000,288.2248,49.0523,0.007867
363.0000,287.2985,48.6755,0.002790
364.0000,286.3732,48.2962,0.002217
365.0000,285.4471,47.9190,0.007266
366.0000,284.5183,47.5485,0.012330
367.0000,283.5852,47.1888,0.013016
368.0000,282.6475,46.8414,0.013485
369.0000,281.7052,46.5066,0.013945
370.0000,280.7583,46.1850,0.014392
371.0000,279.8069,45.8771,0.014825
372.0000,278.8511,45.5833,0.015239
373.0000,277.8908,45.3041,0.015633
374.0000,276.9264,45.0399,0.016002
375.0000,275.9578,44.7912,0.016344
376.0000,274.9853,44.5584,0.016655
377.0000,274.0091,44.3418,0.016934
378.0000,273.0293,44.1417,0.017177
379.0000,272.0462,43.9585,0.017384
